"ZIONTRACKINGKEY","BANK","ACCOUNT","TRANSACTIONTYPE","DATESTAMP","BRANCHID"
"59299.0","013","3604092231","1010","123811","37869"
"59300.0","013","4974219310","1510","123811","20184"
"59301.0","018","0123612074","1010","123811","90510"
"59302.0","018","0437909265","1510","123811","88431"
"59303.0","013","2687822041","1510","123811","57400"
"59304.0","018","5713991417","1750","123811","74385"
"59305.0","018","1133516028","1010","123811","73490"
"59306.0","013","5516780919","1010","123811","78227"
"59307.0","013","4263929692","1750","123811","63443"
"59308.0","013","8500281497","1010","123811","65383"
"59309.0","001","5480544827","1510","123811","92843"
"59310.0","001","4153063574","1750","123811","44811"
"59311.0","013","4050551333","1510","123811","51426"
"59312.0","013","3223684243","1010","123811","09892"
"59313.0","001","5744261243","1010","123811","66790"
"59314.0","001","3513539629","1750","123811","49787"
"59315.0","018","6460290643","1510","123811","39295"
"59316.0","001","7371375910","1010","123811","45361"
"59317.0","001","5627059641","1510","123811","02748"
"59318.0","001","5469853677","1510","123811","21871"
"59319.0","018","7993870537","1750","123811","52298"
"59320.0","018","6515822961","1510","123811","54259"
"59321.0","001","6035088839","1750","123811","73971"
"59322.0","001","3166426502","1750","123811","06671"
"59323.0","018","3879745118","1010","123811","87668"
"59324.0","018","5066301756","1750","123811","46604"
"59325.0","001","0411954364","1010","123811","84849"
"59326.0","001","1803254528","1010","123811","09095"
"59327.0","018","2479768346","1010","123811","76739"
"59328.0","018","1557648534","1750","123811","20867"
"59329.0","013","5241028378","1750","123811","77797"
"59330.0","001","3775971073","1750","123811","28874"
"59331.0","013","0045619859","1510","123811","54119"
"59332.0","013","2610396117","1010","123811","58224"
"59333.0","018","4171595936","1010","123811","93218"
"59334.0","018","7079446543","1010","123811","20277"
"59335.0","018","2526796610","1510","123811","67306"
"59336.0","013","0832962882","1510","123811","63849"
"59337.0","013","1338949852","1010","123811","67043"
"59339.0","013","6227366369","1010","123811","15901"
"59338.0","001","8018148212","1510","123811","53554"
"59340.0","018","7900713698","1750","123811","55640"
"59341.0","001","0858532459","1510","123811","57742"
"59342.0","013","5544802584","1750","123811","73937"
"59343.0","018","3105355698","1010","123811","49838"
"59344.0","018","6071437486","1750","123811","21474"
"59346.0","018","3182593968","1510","123811","99920"
"59345.0","013","0212949997","1010","123811","81450"
"59347.0","018","0405121235","1010","123811","54355"
"59349.0","018","4770920412","1750","123811","94301"
"59348.0","001","5284222454","1750","123811","64415"
"59351.0","001","6433020699","1010","123811","37772"
"59350.0","013","8749918123","1010","123811","23230"
"59352.0","018","4723993728","1510","123811","02024"
"59354.0","018","0126606791","1750","123811","63806"
"59355.0","001","5542290745","1010","123811","25780"
"59357.0","001","2235015776","1510","123811","22043"
"59356.0","013","5889866581","1010","123811","93588"
"59353.0","018","2454404112","1750","123811","62937"
"59358.0","013","9229795846","1510","123811","51514"
"59359.0","018","9650629908","1510","123811","11892"
"59360.0","018","1982450138","1510","123811","74718"
"59361.0","013","9279341990","1010","123811","52455"
"59363.0","018","4686045223","1750","123811","21606"
"59362.0","001","2562717042","1010","123811","71473"
"59364.0","018","6319960317","1750","123811","38263"
"59365.0","013","8937558925","1750","123811","88932"
"59366.0","013","7808394000","1750","123811","20741"
"59367.0","013","4738794607","1010","123811","49966"
"59369.0","013","0772245282","1510","123811","38330"
"59368.0","001","4502293284","1010","123811","11448"
"59370.0","001","2973305504","1510","123811","93395"
"59371.0","018","4459401869","1510","123811","12326"
"59372.0","001","2578866111","1010","123811","83818"
"59373.0","018","1720694248","1510","123811","20186"
"59375.0","001","0714074828","1010","123811","65220"
"59374.0","013","3522011037","1750","123811","20543"
"59376.0","018","3974929702","1750","123811","16606"
"59377.0","001","0220946476","1510","123811","33915"
"59378.0","001","7440655256","1750","123811","95776"
"59379.0","018","7373283654","1010","123811","37799"
"59381.0","013","7856354008","1750","123811","88455"
"59380.0","013","6603909616","1010","123811","49582"
"59382.0","013","4633611244","1750","123811","40942"
"59384.0","018","6163394112","1010","123811","51939"
"59383.0","018","2923009454","1750","123811","06630"
"59385.0","018","1418666880","1510","123811","88887"
"59387.0","013","1229545202","1510","123811","43092"
"59386.0","001","5770253185","1750","123811","59532"
"59388.0","018","5785565012","1750","123811","20613"
"59389.0","018","2814254117","1010","123811","02948"
"59390.0","018","4707554561","1750","123811","88460"
"59391.0","001","1632838577","1010","123811","19722"
"59392.0","001","4030743576","1010","123811","83197"
"59393.0","018","9435188207","1510","123811","73253"
"59394.0","018","6720795499","1750","123811","07272"
"59395.0","018","2808631246","1010","123811","50314"
"59396.0","013","0690585065","1750","123811","89749"
"59397.0","018","1560969734","1750","123811","11156"
"59398.0","018","5406449121","1750","123811","55302"
"59399.0","013","3693363266","1510","123811","00710"
"59400.0","001","0295051981","1010","123811","56445"
"59401.0","013","1091684705","1010","123811","48087"
"59403.0","001","4148008063","1510","123811","08294"
"59402.0","013","8456132156","1750","123811","07737"
"59404.0","013","2028962622","1010","123811","41446"
"59405.0","013","9201822547","1010","123811","18604"
"59406.0","001","4478130339","1750","123811","27888"
"59407.0","018","6790508999","1510","123811","32197"
"59408.0","013","5295484006","1010","123811","87512"
"59409.0","018","7084746886","1510","123811","62549"
"59410.0","001","0706904347","1750","123811","65096"
"59411.0","018","2393433374","1750","123811","98262"
"59412.0","001","0607887220","1750","123811","85395"
"59414.0","001","7147932641","1010","123811","24017"
"59413.0","018","8350055674","1750","123811","85463"
"59415.0","018","3635869617","1510","123811","19311"
"59416.0","013","6816928308","1750","123811","23972"
"59417.0","013","2384610275","1750","123811","92284"
"59418.0","018","9909999525","1010","123811","32124"
"59419.0","013","6920713496","1010","123811","65098"
"59420.0","018","5990683108","1750","123811","79278"
"59421.0","013","9588634234","1750","123811","47033"
"59422.0","013","0053503681","1750","123811","83886"
"59423.0","013","8044633808","1750","123811","32287"
"59424.0","013","6722637245","1510","123811","73676"
"59425.0","013","4810650178","1010","123811","97764"
"59426.0","018","8587203520","1510","123811","79546"
"59427.0","001","1407283949","1010","123811","04944"
"59429.0","013","4486055253","1750","123811","31050"
"59428.0","018","7622618409","1750","123811","54645"
"59430.0","013","4512150002","1750","123811","07563"
"59431.0","001","7715693415","1750","123811","70709"
"59432.0","001","5952334158","1010","123811","03600"
"59433.0","001","8746846544","1010","123811","01560"
"59434.0","001","9407403929","1750","123811","94546"
"59435.0","001","8998902440","1010","123811","25255"
"59436.0","001","7502107622","1750","123811","52639"
"59437.0","018","1417375954","1010","123811","38454"
"59438.0","018","0288908700","1510","123811","16742"
"59439.0","001","4172036772","1750","123811","98812"
"59440.0","013","0980080819","1510","123811","31668"
"59441.0","001","1953388357","1510","123811","96761"
"59442.0","013","3964923831","1010","123811","15807"
"59443.0","013","3884369553","1750","123811","46761"
"59445.0","018","2905381207","1510","123811","96691"
"59446.0","018","0794085107","1750","123811","90730"
"59444.0","001","4849102883","1510","123811","28210"
"59447.0","001","4012328882","1750","123811","25905"
"59448.0","001","4614041228","1750","123811","62480"
"59449.0","018","3790974600","1510","123811","14869"
"59450.0","001","1498127646","1010","123811","56148"
"59451.0","001","4753577805","1510","123811","49956"
"59452.0","013","2617732170","1510","123811","44691"
"59454.0","018","8330234436","1510","123811","02445"
"59453.0","013","3031209625","1510","123811","81175"
"59455.0","001","4258954871","1010","123811","66830"
"59456.0","001","5116181737","1750","123811","12655"
"59457.0","013","0363876874","1010","123811","91759"
"59458.0","018","3692326852","1510","123811","74144"
"59459.0","001","1237987477","1010","123811","06050"
"59460.0","001","5738683843","1750","123811","04782"
"59461.0","018","6085454204","1510","123811","63571"
"59462.0","018","7438859892","1750","123811","06637"
"59463.0","013","5570950303","1510","123811","54733"
"59464.0","013","1086778709","1510","123811","93317"
"59465.0","001","0901254914","1750","123811","23603"
"59466.0","013","2185123163","1750","123811","88230"
"59467.0","001","3938727451","1510","123811","26708"
"59468.0","001","3737435807","1750","123811","87790"
"59469.0","018","0343827972","1750","123811","84978"
"59470.0","013","8681737180","1510","123811","97864"
"59471.0","001","5405621288","1010","123811","49580"
"59472.0","001","8444384768","1010","123811","40844"
"59473.0","013","4548572925","1510","123811","40843"
"59474.0","001","9049215648","1510","123811","06508"
"59475.0","018","9048261419","1510","123811","59632"
"59477.0","013","9843998640","1510","123811","15266"
"59476.0","001","2306012653","1750","123811","55946"
"59478.0","013","7850406414","1750","123811","87918"
"59479.0","013","7123244376","1750","123811","89901"
"59480.0","018","8684762243","1010","123811","25812"
"59482.0","013","2805963241","1510","123811","19494"
"59481.0","001","0340080976","1510","123811","31531"
"59483.0","018","8904975099","1010","123811","27056"
"59484.0","001","3329179391","1010","123811","73716"
"59485.0","018","9794881862","1010","123811","65789"
"59486.0","013","4973857005","1010","123811","21015"
"59487.0","018","7953481559","1510","123811","80971"
"59488.0","018","5014385428","1510","123811","78425"
"59489.0","018","6802005592","1010","123811","98277"
"59490.0","001","8940452084","1750","123811","24417"
"59491.0","001","9000556189","1510","123811","49847"
"59492.0","001","9098313045","1510","123811","28810"
"59493.0","013","3977121809","1750","123811","77288"
"59494.0","013","9073474918","1510","123811","99488"
"59495.0","018","8596293648","1010","123811","45138"
"59496.0","001","1963892291","1510","123811","60376"
"59497.0","013","9547116068","1510","123811","89005"
"59498.0","013","1919056416","1750","123811","89761"
"59499.0","013","1207383337","1510","123811","59748"
"59500.0","013","4018310004","1010","123811","21276"
"59501.0","013","8612288430","1750","123811","53291"
"59502.0","018","7194475827","1510","123811","23601"
"59503.0","001","3905478293","1010","123811","14774"
"59504.0","018","8510446638","1010","123811","02613"
"59505.0","001","6474442757","1010","123811","09911"
"59506.0","001","4782619604","1750","123811","03296"
"59507.0","001","2371820352","1010","123811","25642"
"59508.0","013","5115165764","1510","123811","95850"
"59509.0","013","1612889001","1010","123811","93860"
"59510.0","013","7082652457","1010","123811","75544"
"59511.0","018","4747372056","1510","123811","10284"
"59512.0","013","5150694688","1750","123811","97545"
"59513.0","001","9643601351","1010","123811","75299"
"59514.0","013","1108057029","1010","123811","09972"
"59515.0","001","6252959002","1750","123811","98102"
"59516.0","013","8374934703","1010","123811","05768"
"59517.0","013","8075799207","1010","123811","14928"
"59518.0","018","4077011175","1010","123811","33383"
"59519.0","013","2061819447","1010","123811","31357"
"59520.0","018","5379260521","1510","123811","26675"
"59521.0","001","1520073400","1510","123811","73176"
"59522.0","018","3458132654","1510","123811","98290"
"59523.0","001","9679059020","1010","123811","52311"
"59524.0","013","9706170645","1750","123811","97241"
"59525.0","001","2542703122","1510","123811","46345"
"59526.0","013","6762536689","1010","123811","61468"
"59527.0","013","4618035071","1750","123811","42084"
"59528.0","013","9203024160","1010","123811","75155"
"59529.0","013","7284450953","1750","123811","67579"
"59531.0","001","3225149148","1510","123811","66794"
"59530.0","018","4044563885","1510","123811","26240"
"59532.0","013","6193798198","1010","123811","09994"
"59533.0","018","0721890670","1010","123811","57158"
"59534.0","018","1598429231","1010","123811","66626"
"59535.0","001","2487872796","1510","123811","28920"
"59537.0","001","3926345670","1750","123811","07648"
"59538.0","018","4063181383","1510","123811","11828"
"59539.0","013","6675355400","1010","123811","09546"
"59536.0","018","7433900185","1010","123811","51880"
"59540.0","018","9058624011","1750","123811","17858"
"59541.0","018","2543381916","1750","123811","39182"
"59542.0","013","6299209671","1010","123811","37583"
"59543.0","001","0209715158","1750","123811","57851"
"59544.0","018","1440198170","1510","123811","00209"
"59545.0","018","7128931202","1010","123811","67790"
"59547.0","018","3923972014","1010","123811","61281"
"59548.0","001","3113510169","1510","123811","52718"
"59549.0","013","2269906139","1750","123811","76247"
"59546.0","013","6790289044","1750","123811","35735"
"59550.0","001","1546069130","1750","123811","10152"
"59551.0","001","4463884534","1010","123811","35049"
"59552.0","001","8134037231","1510","123811","16354"
"59553.0","001","1299647203","1750","123811","53349"
"59554.0","013","6637784969","1750","123811","77840"
"59555.0","018","9061843637","1750","123811","85946"
"59557.0","018","2931232603","1010","123811","91225"
"59556.0","001","1961673314","1010","123811","88592"
"59558.0","001","2668864201","1750","123811","77433"
"59559.0","013","2155931073","1010","123811","18306"
"59560.0","001","3802168052","1010","123811","07786"
"59561.0","013","8480530952","1750","123811","08116"
"59562.0","013","0590895634","1750","123811","67608"
"59564.0","018","4768616285","1750","123811","68190"
"59563.0","018","7887605505","1010","123811","50421"
"59565.0","001","3162789524","1750","123811","09354"
"59566.0","001","5242577830","1510","123811","38818"
"59567.0","013","6369393024","1750","123811","09746"
"59568.0","018","0285907475","1510","123811","66752"
"59570.0","001","5617631889","1510","123811","52373"
"59569.0","001","7744937923","1510","123811","99555"
"59571.0","018","5546172375","1010","123811","02456"
"59572.0","018","0452130471","1750","123811","38531"
"59574.0","018","3769844604","1510","123811","85359"
"59573.0","018","3424997463","1010","123811","03429"
"59575.0","013","3770884554","1510","123811","51792"
"59576.0","013","1334193315","1510","123811","61048"
"59577.0","018","4761165842","1510","123811","95488"
"59579.0","001","7761802280","1510","123811","99733"
"59580.0","013","7588781494","1510","123811","44738"
"59581.0","013","2570035242","1750","123811","22192"
"59578.0","001","6110442936","1010","123811","88859"
"59582.0","001","1002087811","1010","123811","18706"
"59583.0","018","6510876825","1510","123811","64767"
"59584.0","018","2987703287","1010","123811","43525"
"59586.0","013","5924464485","1750","123811","12516"
"59585.0","013","3458085313","1750","123811","58651"
"59587.0","013","8131322616","1510","123811","45235"
"59588.0","013","9712471361","1510","123811","17381"
"59589.0","018","6509045767","1510","123811","89967"
"59590.0","013","5006680464","1510","123811","02233"
"59591.0","018","1287440133","1510","123811","57927"
"59592.0","013","5360596693","1010","123811","44283"
"59593.0","013","2980937019","1750","123811","35223"
"59594.0","018","6136733499","1510","123811","78659"
"59595.0","013","9695387625","1750","123811","85647"
"59596.0","018","1223813117","1010","123811","71468"
"59597.0","013","8808435642","1750","123811","02046"
"59598.0","001","6127900638","1010","123811","95513"
"59599.0","001","2950784213","1010","123811","88895"
"59600.0","013","0778952359","1510","123811","00976"
"59601.0","018","3730776929","1750","123811","72894"
"59602.0","018","1381994590","1750","123811","44436"
"59603.0","018","4151706240","1510","123811","60267"
"59604.0","013","3710305847","1010","123811","44179"
"59605.0","013","1158712827","1510","123811","46413"
"59606.0","013","3918300578","1010","123811","55824"
"59607.0","001","2184500964","1750","123811","50869"
"59608.0","018","7986166307","1750","123811","21894"
"59609.0","001","0991123958","1010","123811","37739"
"59610.0","013","0026411617","1010","123811","22554"
"59611.0","001","1886717538","1750","123811","72874"
"59612.0","018","5544889102","1010","123811","01113"
"59613.0","013","7942506013","1510","123811","99372"
"59614.0","013","8412715856","1510","123811","47380"
"59615.0","018","5329868162","1010","123811","34825"
"59616.0","013","4326461517","1010","123811","50392"
"59618.0","018","4207217573","1510","123811","21081"
"59617.0","018","6361757437","1010","123811","68875"
"59619.0","018","8126664752","1010","123811","92799"
"59620.0","013","8568970251","1750","123811","18046"
"59621.0","001","7898507529","1750","123811","10760"
"59622.0","018","9482172845","1750","123811","89741"
"59623.0","013","1004725474","1510","123811","29516"
"59625.0","001","3033630204","1510","123811","61251"
"59624.0","001","9265914141","1750","123811","44853"
"59626.0","001","4087625573","1010","123811","11577"
"59627.0","013","1309049993","1010","123811","90692"
"59628.0","001","4596468421","1750","123811","21928"
"59629.0","013","6804483535","1510","123811","13638"
"59630.0","013","5058669967","1010","123811","36515"
"59631.0","018","2214941972","1010","123811","84851"
"59632.0","013","9688208182","1010","123811","96787"
"59633.0","018","6554578776","1750","123811","75131"
"59634.0","001","1482271113","1750","123811","61448"
"59635.0","001","4638956911","1750","123811","43864"
"59636.0","001","8188620005","1010","123811","75230"
"59637.0","013","5711326592","1510","123811","17341"
"59638.0","013","8693907641","1750","123811","18804"
"59639.0","001","0835114062","1010","123811","90804"
"59640.0","013","7392090030","1510","123811","96983"
"59641.0","013","9684080483","1510","123811","77108"
"59642.0","018","9963053479","1750","123811","76957"
"59643.0","013","3007005683","1010","123811","72277"
